Unnamed: 0,"Instructions
Enter stock symbol in cell B4",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,POWERED BY
,"Oct 16, 2024",166.03,167.28,165.22,166.74,"9,968,474"
,"Oct 17, 2024",167.38,167.93,164.37,164.51,"15,113,356"
,"Oct 18, 2024",164.87,166.37,164.75,165.05,"13,091,267"
,"Oct 21, 2024",164.58,166.22,164.31,165.80,"11,384,047"
,"Oct 22, 2024",164.70,167.47,164.67,166.82,"11,958,617"
,"Oct 23, 2024",166.43,167.60,163.63,164.48,"12,754,283"
,"Oct 24, 2024",164.59,165.05,162.77,164.53,"12,764,430"
,"Oct 25, 2024",165.37,167.40,165.23,166.99,"14,566,410"
,"Oct 28, 2024",170.59,170.61,165.79,168.34,"20,858,254"
,"Oct 29, 2024",169.39,171.86,168.66,171.14,"28,916,106"
,"Oct 30, 2024",182.41,183.79,175.75,176.14,"49,698,313"
,"Oct 31, 2024",174.72,178.42,172.56,172.69,"32,801,898"
,"Nov 1, 2024",171.54,173.82,170.31,172.65,"21,752,859"
,"Nov 4, 2024",171.24,171.92,169.49,170.68,"16,193,994"
,"Nov 5, 2024",170.83,172.10,170.37,171.41,"12,518,282"
,"Nov 6, 2024",175.35,178.64,175.04,178.33,"27,061,510"
,"Nov 7, 2024",179.11,182.58,178.89,182.28,"16,730,407"
,"Nov 8, 2024",182.00,182.35,179.57,179.86,"15,021,549"
,"Nov 11, 2024",180.07,182.09,179.99,181.97,"12,503,422"
,"Nov 12, 2024",181.38,184.03,180.99,183.32,"14,065,845"
,"Nov 13, 2024",182.15,182.62,180.12,180.49,"13,969,709"
,"Nov 14, 2024",179.75,180.45,176.03,177.35,"17,925,763"
,"Nov 15, 2024",175.64,175.88,172.75,173.89,"21,708,870"
,"Nov 18, 2024",174.96,176.91,174.42,176.80,"18,725,422"
,"Nov 19, 2024",175.24,180.17,175.12,179.58,"15,392,866"
,"Nov 20, 2024",178.83,179.11,175.33,177.33,"15,729,806"
,"Nov 21, 2024",175.46,175.58,165.31,169.24,"38,839,431"
,"Nov 22, 2024",167.16,168.26,165.71,166.57,"24,497,042"
,"Nov 25, 2024",167.99,170.46,167.40,169.43,"21,395,652"
,"Nov 26, 2024",169.49,171.50,169.43,170.62,"14,937,478"
,"Nov 27, 2024",170.68,171.14,169.67,170.82,"12,433,371"
,"Nov 29, 2024",170.06,170.87,168.75,170.49,"9,250,712"
,"Dec 2, 2024",170.32,173.60,170.27,172.98,"16,593,444"
,"Dec 3, 2024",173.12,174.32,172.51,173.02,"15,721,483"
,"Dec 4, 2024",172.78,176.43,172.75,176.09,"18,239,842"
,"Dec 5, 2024",177.32,177.71,174.01,174.31,"16,145,520"
,"Dec 6, 2024",173.88,176.84,173.55,176.49,"13,319,549"
,"Dec 9, 2024",175.72,178.04,175.40,177.10,"19,887,786"
,"Dec 10, 2024",184.54,188.03,182.67,186.53,"34,317,438"
,"Dec 11, 2024",186.70,196.89,186.26,196.71,"41,664,489"
,"Dec 12, 2024",196.30,196.71,193.28,193.63,"25,197,757"
,"Dec 13, 2024",192.71,194.34,191.26,191.38,"18,883,217"
,"Dec 16, 2024",194.37,200.64,194.11,198.16,"32,248,640"
,"Dec 17, 2024",198.53,202.88,196.69,197.12,"24,129,481"
,"Dec 18, 2024",196.83,198.69,189.28,190.15,"27,638,416"
,"Dec 19, 2024",193.28,194.60,189.52,189.70,"26,981,196"
,"Dec 20, 2024",187.01,194.14,186.37,192.96,"45,319,703"
,"Dec 23, 2024",194.03,196.49,191.63,195.99,"15,235,942"
,"Dec 24, 2024",196.17,197.67,195.20,197.57,"6,809,823"
,"Dec 26, 2024",196.74,198.16,195.87,197.10,"7,918,434"
,"Dec 27, 2024",196.47,196.80,191.97,194.04,"14,692,994"
,"Dec 30, 2024",190.87,193.78,190.36,192.69,"12,209,534"
,"Dec 31, 2024",192.45,193.25,189.58,190.44,"14,355,221"
,"Jan 2, 2025",191.49,193.20,188.71,190.63,"17,545,162"
,"Jan 3, 2025",192.73,194.50,191.35,193.13,"12,874,957"
,"Jan 6, 2025",195.15,199.56,195.06,197.96,"19,483,323"
,"Jan 7, 2025",198.27,202.14,195.94,196.71,"16,966,760"
,"Jan 8, 2025",193.95,197.64,193.75,195.39,"14,335,341"
,"Jan 10, 2025",195.42,197.62,191.60,193.17,"20,753,794"
,"Jan 13, 2025",191.35,192.49,188.66,192.29,"13,169,060"
,"Jan 14, 2025",192.50,193.27,189.64,191.05,"13,651,183"
,"Jan 15, 2025",194.35,197.80,193.33,196.98,"12,894,875"
,"Jan 16, 2025",195.83,196.98,194.30,194.41,"13,449,581"
,"Jan 17, 2025",198.05,198.81,195.31,197.55,"22,109,129"
,"Jan 21, 2025",200.51,203.84,199.44,199.63,"19,005,232"
,"Jan 22, 2025",200.55,202.12,199.20,200.03,"15,477,376"
,"Jan 23, 2025",199.98,201.94,196.82,199.58,"15,170,838"
,"Jan 24, 2025",199.85,202.57,199.78,201.90,"12,732,376"
,"Jan 27, 2025",194.19,198.67,192.70,193.77,"24,970,173"
,"Jan 28, 2025",194.65,197.23,192.61,197.07,"15,939,161"
,"Jan 29, 2025",197.37,198.46,195.19,197.18,"12,287,818"
,"Jan 30, 2025",199.76,203.24,199.47,202.63,"14,571,479"
,"Jan 31, 2025",203.72,207.08,203.58,205.60,"17,087,335"
,"Feb 3, 2025",202.22,205.22,201.66,202.64,"16,719,469"
,"Feb 4, 2025",204.50,208.70,204.26,207.71,"28,285,436"
,"Feb 5, 2025",193.10,194.55,189.91,193.30,"43,719,589"
,"Feb 6, 2025",190.99,193.83,190.49,193.31,"20,816,593"
,"Feb 7, 2025",192.74,193.02,185.10,187.14,"29,565,724"
,"Feb 10, 2025",189.06,189.99,187.61,188.20,"16,606,020"
,"Feb 11, 2025",186.84,188.80,186.08,187.07,"13,028,100"
,"Feb 12, 2025",185.23,186.83,183.63,185.43,"17,632,314"
,"Feb 13, 2025",185.93,187.99,184.88,187.88,"12,729,334"
,"Feb 14, 2025",186.83,188.15,186.11,186.87,"12,714,154"
,"Feb 18, 2025",187.44,187.78,183.58,185.80,"19,796,028"
,"Feb 19, 2025",186.19,187.36,185.50,187.13,"13,120,465"
,"Feb 20, 2025",186.50,187.12,184.60,186.64,"12,063,807"
,"Feb 21, 2025",187.29,187.47,181.13,181.58,"19,520,782"
,"Feb 24, 2025",183.80,185.09,180.88,181.19,"18,734,014"
,"Feb 25, 2025",180.16,180.76,176.77,177.37,"20,832,485"
,"Feb 26, 2025",176.95,178.08,173.59,174.70,"23,693,251"
,"Feb 27, 2025",175.94,176.59,169.75,170.21,"25,930,530"
,"Feb 28, 2025",170.30,172.50,168.39,172.22,"30,049,812"
,"Mar 3, 2025",173.73,175.00,167.64,168.66,"24,121,991"
,"Mar 4, 2025",167.94,175.17,167.54,172.61,"30,711,408"
,"Mar 5, 2025",172.32,175.75,170.93,174.99,"18,848,036"
,"Mar 6, 2025",172.55,176.73,172.51,174.21,"19,082,404"
,"Mar 7, 2025",173.24,176.90,172.25,175.75,"16,395,287"
,"Mar 10, 2025",170.16,170.45,165.57,167.81,"28,990,724"
,"Mar 11, 2025",166.68,168.66,163.24,165.98,"23,705,899"
,"Mar 12, 2025",168.47,169.53,165.48,169.00,"19,880,062"
,"Mar 13, 2025",167.98,168.12,164.07,164.73,"15,206,165"
,"Mar 14, 2025",165.32,168.25,164.51,167.62,"18,611,094"
,"Mar 17, 2025",167.33,168.46,165.81,166.57,"17,839,139"
,"Mar 18, 2025",165.96,166.44,158.80,162.67,"24,616,784"
,"Mar 19, 2025",163.92,168.13,163.05,166.28,"24,955,717"
,"Mar 20, 2025",163.82,167.03,163.14,165.05,"19,981,512"
,"Mar 21, 2025",163.38,166.47,163.03,166.25,"29,882,064"
,"Mar 24, 2025",169.27,170.50,167.44,169.93,"18,742,848"
,"Mar 25, 2025",171.18,172.91,170.55,172.79,"13,841,592"
,"Mar 26, 2025",171.30,171.94,166.86,167.14,"22,554,236"
,"Mar 27, 2025",166.71,167.44,163.85,164.08,"21,571,174"
,"Mar 28, 2025",162.36,163.81,155.34,156.06,"34,866,462"
,"Mar 31, 2025",154.81,157.13,152.21,156.23,"33,591,554"
,"Apr 1, 2025",155.30,160.08,155.26,158.88,"20,111,376"
,"Apr 2, 2025",156.96,160.28,156.53,158.86,"17,113,321"
,"Apr 3, 2025",152.84,154.69,152.18,152.63,"28,416,065"
,"Apr 4, 2025",149.90,153.09,147.54,147.74,"39,832,207"
,"Apr 7, 2025",143.39,154.93,142.66,149.24,"47,823,024"
,"Apr 8, 2025",153.57,154.44,145.21,146.58,"35,304,388"
,"Apr 9, 2025",146.33,161.87,145.81,161.06,"46,479,542"
,"Apr 10, 2025",158.76,160.03,152.20,155.37,"35,270,540"
,"Apr 11, 2025",155.59,159.86,155.59,159.40,"22,581,989"
,"Apr 14, 2025",162.31,164.03,159.92,161.47,"18,255,931"
,"Apr 15, 2025",161.57,162.05,157.65,158.68,"15,690,783"
,"Apr 16, 2025",155.47,158.18,153.91,155.50,"16,921,497"
,"Apr 17, 2025",156.61,157.07,150.90,153.36,"19,513,408"
,"Apr 21, 2025",150.97,151.06,148.40,149.86,"16,147,780"
,"Apr 22, 2025",151.07,154.61,150.87,153.90,"15,910,327"
,"Apr 23, 2025",157.91,160.02,156.35,157.72,"18,575,735"
,"Apr 24, 2025",158.53,161.71,158.09,161.47,"30,787,481"
,"Apr 25, 2025",167.10,168.24,163.00,163.85,"35,148,053"
,"Apr 28, 2025",164.26,164.95,160.38,162.42,"20,871,153"
,"Apr 29, 2025",162.04,162.68,159.39,162.06,"15,955,215"
,"Apr 30, 2025",159.86,161.37,157.16,160.89,"20,639,520"
,"May 1, 2025",162.52,163.94,160.93,162.79,"21,904,291"
,"May 2, 2025",164.96,166.70,163.66,165.81,"16,844,937"
,"May 5, 2025",164.52,167.10,164.47,166.05,"15,309,343"
,"May 6, 2025",163.96,166.74,163.13,165.20,"10,691,949"
,"May 7, 2025",166.07,166.99,149.49,152.80,"78,900,429"
,"May 8, 2025",155.92,157.41,154.10,155.75,"38,387,507"
,"May 9, 2025",155.55,156.43,153.83,154.38,"22,871,035"
,"May 12, 2025",159.10,160.44,157.89,159.58,"31,884,901"
,"May 13, 2025",159.92,162.06,157.58,160.89,"24,944,270"
,"May 14, 2025",161.31,168.34,160.93,166.81,"31,769,209"
,"May 15, 2025",167.14,167.51,163.84,165.40,"22,717,554"
,"May 16, 2025",168.93,170.65,166.95,167.43,"36,271,378"
,"May 19, 2025",165.72,167.95,165.42,167.87,"21,374,688"
,"May 20, 2025",167.76,169.68,164.26,165.32,"33,563,274"
,"May 21, 2025",164.95,174.53,164.89,170.06,"45,567,580"
,"May 22, 2025",164.95,174.53,164.89,170.06,"1,172,369"
,"May 23, 2025",170.28,171.21,169.26,169.59,"24,963,648"
,"May 27, 2025",171.30,174.29,171.21,173.98,"24,341,333"
,"May 28, 2025",173.98,176.48,173.01,173.38,"25,999,228"
,"May 29, 2025",175.00,175.40,171.78,172.96,"21,233,590"
,"May 30, 2025",172.41,173.44,168.53,172.85,"36,258,254"
,"Jun 2, 2025",169.01,171.06,168.65,170.37,"24,742,877"
,"Jun 3, 2025",168.87,169.80,166.68,167.71,"25,386,713"
,"Jun 4, 2025",168.28,169.58,167.80,169.39,"18,508,735"
,"Jun 5, 2025",171.62,172.36,169.35,169.81,"25,422,883"
,"Jun 6, 2025",172.30,175.83,172.30,174.92,"22,258,115"
,"Jun 9, 2025",175.87,177.92,175.66,177.63,"18,817,587"
,"Jun 10, 2025",177.76,182.45,176.48,180.01,"32,908,000"
,"Jun 11, 2025",181.23,181.75,178.00,178.79,"18,994,398"
,"Jun 12, 2025",177.48,178.13,176.11,176.97,"17,345,924"
,"Jun 13, 2025",173.58,178.34,173.57,175.88,"20,873,241"
,"Jun 16, 2025",175.91,178.25,175.82,177.94,"18,132,529"
,"Jun 17, 2025",177.00,178.72,175.94,177.23,"17,656,119"
,"Jun 18, 2025",177.28,177.82,172.84,173.98,"32,531,762"
,"Jun 20, 2025",174.87,175.37,166.27,167.73,"55,402,575"
,"Jun 23, 2025",167.32,168.48,163.33,166.01,"36,975,585"
,"Jun 24, 2025",167.69,169.25,166.91,167.74,"27,310,266"
,"Jun 25, 2025",168.65,173.36,168.56,171.49,"23,627,355"
,"Jun 26, 2025",173.39,174.65,170.86,174.43,"25,909,119"
,"Jun 27, 2025",174.63,178.84,172.71,178.27,"74,053,110"
,"Jul 1, 2025",176.81,177.22,174.66,176.91,"25,778,460"
,"Jul 2, 2025",176.81,177.22,174.66,176.91,"193,922"
,"Jul 3, 2025",179.82,180.77,178.19,180.55,"13,287,389"
,"Jul 7, 2025",179.82,180.77,178.19,180.55,"228,493"
,"Jul 8, 2025",178.78,178.79,173.92,175.16,"24,108,642"
,"Jul 9, 2025",176.11,180.28,173.88,177.66,"31,288,035"
,"Jul 10, 2025",176.67,179.59,175.74,178.70,"24,693,712"
,"Jul 11, 2025",177.91,182.61,177.54,181.31,"23,975,714"
